"Constituent","BahMax.PctExp","BahMax.R2","BahMax.cumPctExp","BahMax.relImportance.lmg","BahMax.Amps","BahMax.phase","BahMax.sine","BahMax.cosine","BahMax.speed","BahMax.rank","BahMin.PctExp","BahMin.R2","BahMin.cumPctExp","BahMin.relImportance.lmg","BahMin.Amps","BahMin.phase","BahMin.sine","BahMin.cosine","BahMin.speed","BahMin.rank","MPNMin.PctExp","MPNMin.R2","MPNMin.cumPctExp","MPNMin.relImportance.lmg","MPNMin.Amps","MPNMin.phase","MPNMin.sine","MPNMin.cosine","MPNMin.speed","MPNMin.rank","MPNMax.PctExp","MPNMax.R2","MPNMax.cumPctExp","MPNMax.relImportance.lmg","MPNMax.Amps","MPNMax.phase","MPNMax.sine","MPNMax.cosine","MPNMax.speed","MPNMax.rank","San.PctExp","San.R2","San.cumPctExp","San.relImportance.lmg","San.Amps","San.phase","San.sine","San.cosine","San.speed","San.rank","SuaMax.PctExp","SuaMax.R2","SuaMax.cumPctExp","SuaMax.relImportance.lmg","SuaMax.Amps","SuaMax.phase","SuaMax.sine","SuaMax.cosine","SuaMax.speed","SuaMax.rank","Tor.PctExp","Tor.R2","Tor.cumPctExp","Tor.relImportance.lmg","Tor.Amps","Tor.phase","Tor.sine","Tor.cosine","Tor.speed","Tor.rank","AvgRank.x","LevMin.PctExp","LevMin.R2","LevMin.cumPctExp","LevMin.relImportance.lmg","LevMin.Amps","LevMin.phase","LevMin.sine","LevMin.cosine","LevMin.speed","LevMin.rank","LevMid.PctExp","LevMid.R2","LevMid.cumPctExp","LevMid.relImportance.lmg","LevMid.Amps","LevMid.phase","LevMid.sine","LevMid.cosine","LevMid.speed","LevMid.rank","AvgRank.y","PonMin.PctExp","PonMin.R2","PonMin.cumPctExp","PonMin.relImportance.lmg","PonMin.Amps","PonMin.phase","PonMin.sine","PonMin.cosine","PonMin.speed","PonMin.rank","PonMid.PctExp","PonMid.R2","PonMid.cumPctExp","PonMid.relImportance.lmg","PonMid.Amps","PonMid.phase","PonMid.sine","PonMid.cosine","PonMid.speed","PonMid.rank","PonMax.PctExp","PonMax.R2","PonMax.cumPctExp","PonMax.relImportance.lmg","PonMax.Amps","PonMax.phase","PonMax.sine","PonMax.cosine","PonMax.speed","PonMax.rank","AvgRank"
"Sa",0.0291252878681453,0.896772807626119,90.1877915220079,NA,0.0212452706807036,37.4520941039944,0.00409338072183105,0.00534384306210954,0.04106863,19,1.2446552196755,0.854150968033419,85.4401343212454,0.0222385723339882,0.0727010247831737,236.329190561989,-0.016360445185198,-0.01089902220064,0.04106863,6,8.80342893374381e-09,0.892045297990212,89.6554679757291,NA,0.0276391316800665,209.850782462038,-0.00459295493614084,-0.00800329463730052,0.04106863,16,5.25609156466379,0.649099169590569,64.3325406508129,0.055762899914505,0.117527042342186,209.034127352131,-0.0130994579985383,-0.023598887038794,0.04106863,5,2.37664824973021,0.598649256193762,62.3333308173325,NA,0.00487073849680729,342.147230644103,-0.00028468573616593,0.000883894533057393,0.04106863,19,0.562987015888924,0.635070250567491,69.1667581416213,0.0152216648420919,0.108063981836022,259.168581782299,-0.018804805367824,-0.00359789646898579,0.04106863,8,5.40276139715268,0.778284041657794,77.8643107460377,0.0520134817248932,0.162552004797885,261.198722830988,-0.0456947877216127,-0.00707496987021785,0.04106863,5,11.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186994709872901,0.5486467756399,67.3049660099404,NA,0.0222082169116064,292.030139321942,-0.00527330484664673,0.00213378086645023,0.04106863,20,20,2.5303865728466,0.71968737766375,77.9350858378073,0.0165643855155548,0.248443808520575,181.271165624454,-0.000835458478394443,-0.0376507904979868,0.04106863,6,11.1036431989105,0.758097666270987,78.8120710070477,NA,0.00668943022732145,116.699975533797,0.00150679862915762,-0.000757839953004395,0.04106863,12,63.2640620901516,0.494128835220522,65.5195344954198,0.295951198154898,0.00612307906326487,237.116457430055,-0.00213790234555281,-0.00138220012771235,0.04106863,2,6.66666666666667
"sig1",0.000562518101677993,0.896731057019046,90.1883540401095,NA,0.00543343425321309,215.1822566899,-0.00127402445921405,-0.00180723271089359,12.92713986,36,0.00268793692419024,0.898905539745561,90.4693226848161,NA,0.00672533137721645,239.020222881842,-0.0021728356027588,-0.00130452776948352,12.92713986,42,1.30180112280075e-06,0.892020419936803,89.6554692775303,NA,0.00341037789724242,310.25085103189,-0.00106683427730521,0.000903169084314791,12.92713986,49,0.000740535946646912,0.744322335397994,75.8408715504359,NA,0.00290237971954633,180.863118621627,-1.34252578505711e-05,-0.000891131771921625,12.92713986,50,0.000108962643492042,0.598617978144155,62.333439779976,NA,0.0039071282599156,268.580148764047,-0.000815305279883541,-2.02082813311289e-05,12.92713986,25,0.00748080085149595,0.670997371581922,76.2743981241295,NA,0.00391238033099793,212.902179419136,-0.000529629533241761,-0.000818614332235347,12.92713986,43,0.00475222291847977,0.832689803109678,84.7590748341589,NA,0.00647562883075961,101.310450316268,0.00241515751784379,-0.000483054205062394,12.92713986,32,39.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103947295590833,0.725821991913883,83.3623562055472,NA,0.00520245291737744,88.2230710936311,0.00152269825727253,4.72389830793754e-05,12.92713986,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"Ssa",0.861008556823973,0.868645088131225,87.0286335419495,0.00865298964252333,0.0755740199371375,43.0325693772229,0.0168771184496349,0.0180778801405239,0.08213726,6,3.70692931937308,0.816421001472699,81.7604320386599,0.0283050422194032,0.107942275872748,84.7367260155735,0.0289309573233843,0.00266514083484924,0.08213726,4,3.11583249978828,0.815664119962752,82.0724697264352,0.0309995830065447,0.0875368010101704,65.2593549104306,0.0262169561798928,0.0120809924565492,0.08213726,4,5.28155505277963,0.688122069623376,69.6140957035925,0.041094563309751,0.0909962429293389,108.59695380517,0.0196282983476768,-0.00660449047035564,0.08213726,6,0.309641792007479,0.598162041444339,62.6430815719834,NA,0.00132497683629398,189.611135212858,-3.98844292075696e-05,-0.00023553251685502,0.08213726,48,4.09911526215457,0.635459821873905,68.1898329806791,0.0191240907480703,0.125063072219553,155.816569905169,0.0112449948453923,-0.0250406139058852,0.08213726,6,7.6912500471475,0.650149202040363,65.0743689405016,0.0792960790659464,0.21587849219435,156.091636471701,0.023898088992219,-0.0539078572361278,0.08213726,3,14.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3137741946073,0.727469859344132,89.6761304001545,NA,0.020613083399264,145.55886420766,0.00201313341302959,-0.00293558376002272,0.08213726,13,37.8215174341803,0.751999349136808,65.0481045915462,0.190645660027918,0.0129917898091236,264.711572431482,-0.00305838248261787,-0.000283094537453109,0.08213726,2,0.355449277671392,0.490192198373181,65.8749837730912,0.0563125450863518,0.0112592459549928,352.977300923886,-0.000564339139429588,0.00458116839313481,0.08213726,3,6
"T2",0.303905389813991,0.901675031261844,90.4922594299235,NA,0.0309938555878313,338.860740882991,-0.00366501068897585,0.0094787541364521,29.95893327125,16,0.0166411266577217,0.898897340364587,90.4859638114738,NA,0.0133334746689981,265.768820028212,-0.00409061721822661,-0.00030263433126306,29.95893327125,27,0.0816810871108331,0.892720942529123,89.7371503646411,NA,0.0108042386142471,55.0618337222155,0.00296930104085913,0.00207435497613355,29.95893327125,26,0.00165404638205925,0.744308668791932,75.842525596818,NA,0.00162126513808636,133.498054317801,0.000302557217924435,-0.000287096552984937,29.95893327125,56,0.000171960193348217,0.598176469448591,62.6432535321768,NA,0.00379897874933495,91.218670892572,0.000673641857217742,-1.43304018749868e-05,29.95893327125,26,0.185538765043322,0.671714046708344,76.4599368891728,NA,0.00638939671090469,53.8198435376306,0.00128390601868589,0.00093899447921686,29.95893327125,36,0.0203411571637079,0.832892348110609,84.7794159913226,NA,0.00844554797685485,309.394040623241,-0.00206456596118289,0.00169549400727686,29.95893327125,24,32.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160320068144094,0.725879624597485,89.8364504682986,NA,0.0102929703138986,36.8924689616927,0.00155110213746767,0.00206643972140493,29.95893327125,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"the1",0.000182941791570527,0.901630812828019,90.4924423717151,NA,0.00485837655627499,82.45768188318,0.00193442152986006,0.00025612507627338,15.512589718,38,0.00103468086326158,0.898833412367656,90.4869984923371,NA,0.00705823231337515,69.3380616341914,0.00245115728158718,0.0009243548179806,15.512589718,41,0.00197147777107804,0.892322923019285,89.7391218424122,NA,0.0164627051648421,261.097320329295,-0.00642892485439637,-0.00100705081610991,15.512589718,19,0.00471544798851631,0.7443116253818,75.8472410448065,NA,0.00290339060907971,206.862980375018,-0.000397335172585075,-0.000784446173812943,15.512589718,49,0.00606319866147277,0.598169014288101,62.6493167308383,NA,0.00207326851514555,126.593063649145,0.000351177060839314,-0.000260741144912391,15.512589718,43,0.00722592646005987,0.671783942238627,76.4671628156329,NA,0.00363966373157083,11.2262457564645,0.000177081301051022,0.0008921807919805,15.512589718,45,0.00130202736382524,0.832886681699201,84.7807180186864,NA,0.000475878104705305,220.450104528485,-0.00011715165438786,-0.000137409089607708,15.512589718,60,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559282489399998,0.732121230953899,90.3957329576986,NA,0.0178244082047585,117.987930176819,0.00442417466452358,-0.00235118005479992,15.512589718,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
